db_id,uniprot_accession,uniprot_id
DB00656,P28223,5HT2A_HUMAN
DB00656,P31645,SC6A4_HUMAN
DB00656,P23975,SC6A2_HUMAN
DB00656,P35348,ADA1A_HUMAN
DB00656,P08913,ADA2A_HUMAN
DB00656,P35367,HRH1_HUMAN
DB00656,P08908,5HT1A_HUMAN
DB00656,P35368,ADA1B_HUMAN
DB00657,Q15822,ACHA2_HUMAN
DB00659,Q8TCU5,NMD3A_HUMAN
DB00659,P41594,MGR5_HUMAN
DB00659,Q13255,MGR1_HUMAN
DB00659,Q14416,MGR2_HUMAN
DB00659,Q14832,MGR3_HUMAN
DB00661,Q14524,SCN5A_HUMAN
DB00661,P00915,CAH1_HUMAN
DB00661,Q14654,IRK11_HUMAN
DB00661,O00305,CACB4_HUMAN
DB00661,O43497,CAC1G_HUMAN
DB00661,O60840,CAC1F_HUMAN
DB00661,P54284,CACB3_HUMAN
DB00661,Q01668,CAC1D_HUMAN
DB00661,Q02641,CACB1_HUMAN
DB00661,Q06432,CCG1_HUMAN
DB00661,Q08289,CACB2_HUMAN
DB00661,Q12809,KCNH2_HUMAN
DB00661,Q13698,CAC1S_HUMAN
DB00661,Q13936,CAC1C_HUMAN
DB00661,Q9P0X4,CAC1I_HUMAN
DB00663,P04083,ANXA1_HUMAN
DB00663,P08185,CBG_HUMAN
DB00663,P04150,GCR_HUMAN
DB00665,P35348,ADA1A_HUMAN
DB00665,P10275,ANDR_HUMAN
DB00666,P30968,GNRHR_HUMAN
DB00666,Q96P88,GNRR2_HUMAN
DB00667,P35367,HRH1_HUMAN
DB00667,P25021,HRH2_HUMAN
DB00667,Q9Y5N1,HRH3_HUMAN
DB00668,P35348,ADA1A_HUMAN
DB00668,P08588,ADRB1_HUMAN
DB00668,P07550,ADRB2_HUMAN
DB00668,P00439,PH4H_HUMAN
DB00669,P28221,5HT1D_HUMAN
DB00669,P28222,5HT1B_HUMAN
DB00669,P30939,5HT1F_HUMAN
DB00669,P41595,5HT2B_HUMAN
DB00670,P11229,ACM1_HUMAN
DB00672,P48048,IRK1_HUMAN
DB00673,P25103,NK1R_HUMAN
DB00674,P22303,ACES_HUMAN
DB00675,P08183,MDR1_HUMAN
DB00675,P19971,TYPH_HUMAN
DB00675,P03372,ESR1_HUMAN
DB00675,P34913,HYES_HUMAN
DB00675,Q92731,ESR2_HUMAN
DB00677,P06276,CHLE_HUMAN
DB00677,P22303,ACES_HUMAN
DB00678,P30556,AGTR1_HUMAN
DB00679,P35348,ADA1A_HUMAN
DB00679,P14416,DRD2_HUMAN
DB00679,P28223,5HT2A_HUMAN
DB00679,P21728,DRD1_HUMAN
DB00680,Q14524,SCN5A_HUMAN
DB00682,P00734,THRB_HUMAN
DB00683,P14867,GBRA1_HUMAN
DB00683,P18505,GBRB1_HUMAN
DB00683,P28472,GBRB3_HUMAN
DB00683,P31644,GBRA5_HUMAN
DB00683,P34903,GBRA3_HUMAN
DB00683,P47869,GBRA2_HUMAN
